No	発売日	タイトル	メーカー	価格
138	1992/8/7	パイプドリーム	BPS	7500
139	1992/8/7	初代熱血硬派くにおくん	テクノスジャパン	8900
140	1992/8/7	ファランクス	ケムコ	8900
141	1992/8/7	スーパープロフェッショナルベースボールⅡ	ジャレコ	9000
142	1992/8/7	スーパー桃太郎電鉄Ⅱ	ハドソン	8800
143	1992/8/11	ホーム・アローン	アルトロン	8800
144	1992/8/21	キン肉マン ＤＩＲＴＹ ＣＨＡＬＬＥＮＧＥＲ	ユタカ	7800
145	1992/8/22	スーパー麻雀	アイマックス	8000
146	1992/8/27	スーパーマリオカート	任天堂	8900
147	1992/8/28	ＣＢキャラウォーズ　失われたギャーグ	バンプレスト	8500
148	1992/8/28	ウルトラベースボール実名版	マイクロアカデミー	8800
149	1992/9/11	アクスレイ	コナミ	8800
150	1992/9/11	アクロバットミッション	テイチク	8800
151	1992/9/12	ＳＤ機動戦士ガンダム Ｖ作戦始動	エンジェル	7800
152	1992/9/12	スーパー麻雀大会	光栄	9800
153	1992/9/18	ＳＤガンダムＸ  スーパーガチャポンワールド	ユタカ	9500
154	1992/9/18	ワイアラエの奇蹟	T&Eソフト	9800
155	1992/9/24	提督の決断	光栄	14800
156	1992/9/25	ソニックブラストマン	タイトー	8500
157	1992/9/25	大戦略エキスパート	アスキー	9800
158	1992/9/25	銀河英雄伝説	徳間書店インターメディアカンパニー	9800
159	1992/9/25	ぎゅわんぶらあ自己中心派  麻雀皇位戦	パルソフト	8800
160	1992/9/27	ドラゴンクエストV　天空の花嫁	エニックス	9600
161	1992/9/29	スカイミッション	ナムコ	8300
162	1992/10/9	ロードモナーク	エポック社	8800
163	1992/10/16	リターン・オブ・双截龍	テクノスジャパン	8600
164	1992/10/22	スーパーロイヤルブラッド	光栄	9800
165	1992/10/23	アダムスファミリー	ミサワエンターテインメント	8800
166	1992/10/23	スーパーＦ－１サーカスリミテッド	日本物産	9200
167	1992/10/29	コズモギャング ザ ビデオ	ナムコ	7900
168	1992/10/30	真・女神転生	アトラス	9800
169	1992/10/30	サイバーナイト	トンキンハウス	8900
170	1992/11/6	スーパーリニアボール	ヒロ	8000
171	1992/11/8	三國志Ⅲ	光栄	14800
172	1992/11/13	レナス　古代機械の記憶	アスミック	9600
173	1992/11/13	スーパーＳＷＩＶ	ココナッツジャパンエンターテイメント	9500
174	1992/11/20	ミッキーのマジカルアドベンチャー	カプコン	8500
175	1992/11/20	北斗の拳６ 激闘伝承拳覇王への道	東映動画	8900
176	1992/11/20	対決！！ ブラスナンバーズ	レーザーソフト	8500
177	1992/11/20	アメリカ横断ウルトラクイズ	トミー	8700
178	1992/11/20	ヒューマン・グランプリ	ヒューマン	9700
179	1992/11/20	ウィザードリィＶ  災渦の中心	アスキー	9800
180	1992/11/20	ヒーロー戦記  プロジェクトオリュンポス	バンプレスト	9600
181	1992/11/21	ＣＡＣＯＭＡ ＫＮＩＧＨＴ （カコマナイト）	データム・ポリスター	7800
182	1992/11/27	ガンフォース	アイレム	8300
183	1992/11/27	パワーアスリート	KANEKO	8500
184	1992/11/27	餓狼伝説　宿命の闘い	タカラ	9800
185	1992/11/27	アウター・ワールド	ビクターエンタテインメント	8800
186	1992/11/27	ソング・マスター	やのまん	9000
187	1992/11/27	バルバロッサ	サミー	9800
188	1992/11/27	ロイヤルコンクエスト	ジャレコ	8500
189	1992/11/27	あしたのジョー	ケイ・アミューズメントリース	8900
190	1992/11/27	バレーボールＴｗｉｎ	トンキンハウス	8900
191	1992/12/4	ミステリーサークル	ケイ・アミューズメントリース	8300
192	1992/12/4	メジャータイトル	アイレム	8800
193	1992/12/4	芹沢信雄のバーディトライ	東宝	9600
194	1992/12/4	スーパーブラックバス	ホット・ビィ	9800
195	1992/12/6	ファイナルファンタジーＶ	スクウェア	9800
196	1992/12/11	飛龍の拳S  ハイパーバージョン	カルチャーブレーン	9700
197	1992/12/11	Ｐｓｙｃｈｏ Ｄｒｅａｍ (サイコドリーム）	RIOT	8900
198	1992/12/11	弁慶外伝 沙の章	サンソフト	9600
199	1992/12/11	白熱プロ野球ガンバリーグ’９３	エピック・ソニーレコード	9500
200	1992/12/11	大相撲魂	タカラ	9000
201	1992/12/11	バトルサッカー フィールドの覇者	バンプレスト	9500
202	1992/12/11	パチ夫くんスペシャル	ココナッツジャパンエンターテイメント	9800
203	1992/12/14	機動装甲ダイオン	ビック東海	8500
